按	a
内焰	nwyj
内忧	nwyz
内助	nwvu
内子	nwzi
内阻	nwzu
嫩脆	nfcv
恁地	nfdi
嫩红	nfhs
嫩黄	nfhl
嫩江	nfjl
嫩苗	nfmn
嫩芽	nfya
嫩叶	nfye
能带	ngdd
能级	ngji
能面	ngmm
能谱	ngpu
能隙	ngxi
能效	ngxn
拟办	nibj
匿报	nibc
匿藏	nich
逆产	niij
腻虫	niis
尼达	nida
你等	nidg
尼恩	nien
泥肥	nifw
尼根	nigf
泥工	nigs
泥垢	nigz
匿迹	niji
泥浆	nijl
尼卡	nika
妮拉	nila
逆旅	nilv
尼玛	nima
妮麦	nimd
呢帽	nimc
泥煤	nimw
尼木	nimu
妮娜	nina
泥淖	ninc
妮妮	nini
泥泡	nipc
泥墙	niql
妮萨	nisa
尼舒	niuu
尼松	niss
泥塘	nith
尼特	nite
拟题	niti
泥洼	niwa
泥丸	niwj
逆网	niwh
腻味	niww
逆序	nixu
泥岩	niyj
拟议	niyi
拟音	niyb
泥浴	niyu
尼沅	niyr
溺职	nivi
泥嘴	nizv
拟作	nizo
蔫巴	nmba
念白	nmbd
年辈	nmbw
年菜	nmcd
碾场	nmih
年成	nmig
年齿	nmii
黏虫	nmis
年饭	nmfj
碾坊	nmfg
年根	nmgf
年庚	nmgg
年光	nmgl
黏胶	nmjn
年刊	nmkj
年来	nmld
年率	nmlv
年貌	nmmc
碾盘	nmpj
碾平	nmpk
年人	nmrf
碾砣	nmto
念物	nmwu
年下	nmxx
年宵	nmxn
年在	nmzd
年尊	nmzy
娘儿	nler
酿酶	nlmw
娘姨	nlyi
尿垫	nndm
鸟粪	nnff
尿苷	nngj
鸟害	nnhd
尿炕	nnkh
尿裤	nnku
尿量	nnll
尿瘘	nnlz
尿囊	nnnh
尿片	nnpm
袅绕	nnrc
鸟兽	nnuz
鸟窝	nnwo
尿血	nnxp
鸟爪	nnvc
涅白	npbd
镍币	npbi
啮齿	npii
镍钢	npgh
颞骨	npgu
孽海	nphd
捏积	npji
啮甲	npjx
捏弄	npns
颞浅	npqm
聂荣	nprs
颞叶	npye
蹑踪	npzs
蹑足	npzu
宁安	nkan
凝碧	nkbi
佞臣	nkif
宁德	nkde
凝点	nkdm
凝定	nkdk
凝冻	nkds
宁都	nkdu
狞恶	nkee
宁芬	nkff
宁冈	nkgh
宁国	nkgo
宁海	nkhd
宁河	nkhe
凝集	nkji
宁江	nkjl
凝胶	nkjn
宁坤	nkky
宁蒗	nklh
宁陵	nklk
凝眉	nkmw
宁明	nkmk
凝眸	nkmz
凝目	nkmu
宁纳	nkna
宁南	nknj
宁强	nkql
佞人	nkrf
宁日	nkri
宁陕	nkuj
凝思	nksi
宁嗽	nksz
宁帖	nktp
宁武	nkwu
宁县	nkxm
宁馨	nkxb
佞幸	nkxk
凝血	nkxt
宁阳	nkyh
凝注	nkvu
牛蒡	nqbh
扭秤	nqig
牛痘	nqdz
扭断	nqdr
牛倌	nqgr
扭矩	nqju
牛圈	nqjr
牛栏	nqlj
扭力	nqli
纽曼	nqmj
牛虻	nqmg
扭木	nqmu
妞妞	nqnq
牛扒	nqpa
纽襻	nqpj
牛乳	nqru
牛舍	nque
牛瘟	nqwf
牛性	nqxk
牛疫	nqyi
牛蝇	nqyk
牛油	nqyz
纽元	nqyr
牛庄	nqvl
纽卓	nqvo
农安	nsan
农办	nsbj
脓包	nsbc
农大	nsda
农贷	nsdd
弄到	nsdc
农耕	nsgg
农工	nsgs
弄鬼	nsgv
浓黑	nshw
农话	nshx
农会	nshv
弄僵	nsjl
农具	nsju
农垦	nskf
农林	nslb
浓绿	nslv
农贸	nsmc
浓眉	nsmw
农奴	nsnu
脓疱	nspc
弄权	nsqr
农人	nsrf
农桑	nssh
农舍	nsue
脓肾	nsuf
弄通	nsts
弄瓦	nswa
农闲	nsxm
浓香	nsxl
农校	nsxn
脓胸	nsxs
浓须	nsxu
农学	nsxt
脓疡	nsyh
农艺	nsyi
浓荫	nsyb
农用	nsys
农友	nsyz
弄璋	nsvh
农资	nszi
怒潮	nuic
驽钝	nudy
怒放	nufg
弩弓	nugs
怒痕	nuhf
弩机	nuji
怒江	nujl
怒鳞	nulb
怒涛	nutc
怒尾	nuww
怒牙	nuya
怒焰	nuyj
怒羽	nuyu
怒斩	nuvj
怒爪	nuvc
暖道	nrdc
暖阁	nrge
暖锅	nrgo
暖帘	nrlm
暖热	nrre
暖寿	nruz
暖心	nrxb
暖袖	nrxq
虐阴	ntyb
诺安	noan
诺邦	nobh
诺辰	noif
糯稻	nodc
诺恩	noen
诺尔	noer
诺格	noge
诺合	nohe
诺佳	nojx
挪借	nojp
诺康	nokh
诺龙	nols
诺曼	nomj
诺美	nomw
诺沛	nopw
诺其	noqi
诺瑞	norv
诺森	nosf
傩神	nouf
诺爽	noul
诺斯	nosi
诺松	noss
诺特	note
诺通	nots
诺欣	noxb
搦战	novj
诺正	novg
女宝	nvbc
女宾	nvbb
女单	nvdj
女方	nvfg
女官	nvgr
女家	nvjx
女金	nvjb
女角	nvjt
女客	nvke
女垒	nvlw
女气	nvqi
女墙	nvql
女团	nvtr
女校	nvxn
女鞋	nvxp
欧贝	oubw
欧比	oubi
殴斗	oudz
偶犯	oufj
沤肥	oufw
瓯海	ouhd
欧化	ouhx
藕灰	ouhv
偶或	ouho
欧佳	oujx
偶见	oujm
藕节	oujp
欧开	oukk
欧莱	ould
欧力	ouli
欧罗	oulo
欧迈	oumd
欧敏	oumb
欧宁	ounk
欧诺	ouno
偶偶	ouou
偶人	ourf
殴辱	ouru
欧瑞	ourv
藕色	ouse
殴伤	ouuh
欧苏	ousu
欧体	outi
欧维	ouww
欧文	ouwf
呕心	ouxb
瓯绣	ouxq
啪嚓	paia
啪嗒	pada
爬竿	pagj
帕格	page
爬灰	pahv
帕克	pake
爬犁	pali
帕特	pate
帕维	paww
趴窝	pawo
爬泳	pays
帕朱	pavu
排错	pdco
派得	pdde
牌风	pdfg
派格	pdge
派购	pdgz
排洪	pdhs
派活	pdho
排检	pdjm
派款	pdkr
哌喹	pdkv
排涝	pdlc
派林	pdlb
派隆	pdls
牌楼	pdlz
排律	pdlv
拍马	pdma
派蒙	pdmg
牌迷	pdmi
牌面	pdmm
哌能	pdng
排偶	pdou
排炮	pdpc
拍频	pdpb
排枪	pdql
哌嗪	pdqb
派森	pdsf
派纾	pduu
派速	pdsu
排坛	pdtj
派汀	pdtk
派同	pdts
排箫	pdxn
排牙	pdya
排印	pdyb
俳优	pdyz
牌证	pdvg
攀扯	pjie
盘秤	pjig
盘川	pjir
判词	pjci
盘错	pjco
盘道	pjdc
潘德	pjde
判读	pjdu
判分	pjff
攀钢	pjgh
攀供	pjgs
盘桓	pjhr
潘集	pjji
攀交	pjjn
盘锦	pjjb
盘究	pjjq
盘库	pjku
判令	pjlk
叛卖	pjmd
盘弄	pjns
潘诺	pjno
攀爬	pjpa
磐石	pjui
盘梯	pjti
盘条	pjtn
盘陀	pjto
盘县	pjxm
盘牙	pjya
盘运	pjyy
盘账	pjvh
判罪	pjzv
旁出	phiu
庞村	phcy
旁顾	phgu
旁及	phji
旁路	phlu
庞帕	phpa
滂湃	phpd
旁骛	phwu
旁向	phxl
旁坐	phzo
跑表	pcbn
泡茶	pcia
咆齿	pcii
疱疮	pcil
炮打	pcda
庖代	pcdd
跑电	pcdm
跑调	pcdn
庖丁	pcdk
刨根	pcgf
抛荒	pchl
炮灰	pchv
炮姜	pcjl
跑街	pcjp
跑开	pckk
刨坑	pckg
跑酷	pcku
跑垒	pclw
炮楼	pclz
炮烙	pclo
泡囊	pcnh
炮钎	pcqm
抛球	pcqq
跑墒	pcuh
抛射	pcue
抛尸	pcui
刨土	pctu
跑外	pcwd
泡漩	pcxr
炮衣	pcyi
袍泽	pcze
炮竹	pcvu
陪绑	pwbh
胚宝	pwbc
胚柄	pwbk
赔补	pwbu
胚层	pwcg
陪床	pwil
赔错	pwco
陪斗	pwdz
佩尔	pwer
赔话	pwhx
陪考	pwkc
胚孔	pwks
培坤	pwky
佩兰	pwlj
胚膜	pwmo
胚盘	pwpj
胚泡	pwpc
配平	pwpk
配器	pwqi
赔情	pwqk
胚乳	pwru
培瑞	pwrv
配膳	pwuj
陪侍	pwui
配属	pwuu
陪刷	pwux
配体	pwti
辔头	pwtz
配位	pwww
配伍	pwwu
沛县	pwxm
赔笑	pwxn
培修	pwxq
胚芽	pwya
配载	pwzd
配债	pwvd
赔账	pwvh
配子	pwzi
喷笔	pfbi
喷薄	pfbo
湓城	pfig
喷灯	pfdg
喷镀	pfdu
喷放	pffg
盆花	pfhx
喷浆	pfjl
喷酒	pfjq
喷杀	pfua
盆汤	pfth
喷雾	pfwu
喷泻	pfxp
喷液	pfye
蓬安	pgan
篷布	pgbu
烹茶	pgia
鹏程	pgig
膨大	pgda
捧读	pgdu
棚房	pgfg
蓬蒿	pghc
膨化	pghx
硼黄	pghl
棚架	pgjx
蓬江	pgjl
棚圈	pgjr
捧角	pgjt
蓬茸	pgrs
蓬散	pgsj
彭山	pguj
棚舍	pgue
彭水	pguv
硼酸	pgsr
碰锁	pgso
抨弹	pgtj
棚屋	pgwu
蓬溪	pgxi
彭县	pgxm
膨压	pgya
彭阳	pgyh
彭泽	pgze
皮层	picg
辟尘	piif
劈刀	pidc
脾的	pide
疲顿	pidy
脾粉	piff
批购	pigz
皮管	pigr
皮辊	pigy
辟海	pihd
披红	pihs
貔虎	pihu
皮黄	pihl
痞积	piji
皮角	pijn
劈开	pikk
疲困	piky
披览	pilj
坯料	piln
铍铝	pilv
披靡	pimi
纰缪	pimq
皮袍	pipc
皮片	pipm
僻壤	pirh
疲弱	piro
劈杀	piua
坯胎	pitd
皮糖	pith
皮特	pite
劈头	pitz
披屋	piwu
劈胸	pixs
皮影	piyk
僻远	piyr
脾脏	pizh
皮张	pivh
皮重	pivs
邳州	pivz
批转	pivr
皮赘	pivv
偏安	pman
骗财	pmcd
骗贷	pmdd
偏殿	pmdm
偏饭	pmfj
偏废	pmfw
偏关	pmgr
偏光	pmgl
偏航	pmhh
偏护	pmhu
骗汇	pmhv
偏将	pmjl
偏角	pmjn
片警	pmjk
偏劳	pmlc
偏流	pmlq
骗马	pmma
骗卖	pmmd
犏牛	pmnq
骗气	pmqi
偏衫	pmuj
偏生	pmug
偏私	pmsi
片汤	pmth
偏调	pmtn
骈文	pmwf
偏下	pmxx
偏斜	pmxp
偏序	pmxu
片选	pmxr
偏压	pmya
篇页	pmye
片约	pmyt
骗展	pmvj
偏振	pmvf
票车	pnie
飘尘	pnif
漂大	pnda
票额	pnee
飘发	pnfa
票房	pnfg
飘飞	pnfw
票根	pngf
飘海	pnhd
票号	pnhc
漂鸟	pnnn
嫖女	pnnv
瓢泼	pnpo
剽取	pnqu
票券	pnqr
骠勇	pnys
飘欲	pnyu
票源	pnyr
飘展	pnvj
票证	pnvg
票庄	pnvl
撇开	ppkk
苤蓝	pplj
撇弃	ppqi
拼版	pbbj
颦蹙	pbcu
频大	pbda
频带	pbdd
品第	pbdi
频段	pbdr
品红	pbhs
贫化	pbhx
聘金	pbjb
品酒	pbjq
拼卡	pbka
拼客	pbke
贫矿	pbkl
品蓝	pblj
品类	pblw
品目	pbmu
牝牛	pbnq
贫农	pbns
拼配	pbpw
频谱	pbpu
品圈	pbqr
频仍	pbrg
贫弱	pbro
品色	pbse
频数	pbuo
品题	pbti
品脱	pbto
聘问	pbwf
品系	pbxi
频域	pbyu
拼争	pbvg
拼缀	pbvv
品族	pbzu
平白	pkbd
屏边	pkbm
平产	pkij
平车	pkie
平畴	pkiz
平川	pkir
平度	pkdu
评断	pkdr
评功	pkgs
平光	pkgl
平湖	pkhu
平毁	pkhv
评荐	pkjm
平角	pkjn
平津	pkjb
凭靠	pkkc
平克	pkke
平旷	pkkl
平阔	pkko
凭栏	pklj
平乐	pkle
乒联	pklm
平凉	pkll
平聊	pkln
平列	pklp
平流	pklq
平乱	pklr
平罗	pklo
屏门	pkmf
平明	pkmk
平能	pkng
平年	pknm
评聘	pkpb
平桥	pkqn
平绒	pkrs
平射	pkue
平顺	pkuy
平妥	pkto
平武	pkwu
乒协	pkxp
平衍	pkyj
平阳	pkyh
平遥	pkyc
平野	pkye
平阴	pkyb
评优	pkyz
平允	pkyy
平展	pkvj
凭照	pkvc
评传	pkvr
萍踪	pkzs
平足	pkzu
平作	pkzo
破壁	pobi
破冰	pobk
叵测	poce
破钞	poic
坡地	podi
破防	pofg
破击	poji
破军	pojy
破空	poks
泼赖	pold
破浪	polh
破脸	polm
迫临	polb
迫令	polk
破陋	polz
婆母	pomu
破桶	pots
坡头	potz
破土	potu
陂陀	poto
鄱阳	poyh
破野	poye
破影	poyk
破约	poyt
破招	povc
破阵	povf
婆子	pozi
剖白	pzbd
剖解	pzjp
剖开	pzkk
普安	puan
铺板	pubj
蒲棒	pubh
蒲包	pubc
浦北	pubw
谱表	pubn
蒲草	pucc
普测	puce
仆从	pucs
谱牒	pudp
普定	pudk
蒲墩	pudy
扑感	pugj
普格	puge
铺轨	pugv
谱号	puhc
普贺	puhe
朴厚	puhz
铺户	puhu
扑花	puhx
蒲黄	puhl
蒲剑	pujm
蒲剧	puju
普卡	puka
铺开	pukk
浦口	pukz
蒲葵	pukv
普兰	pulj
扑棱	pulg
葡立	puli
蒲柳	pulq
朴茂	pumc
普宁	punk
铺排	pupd
仆仆	pupu
普沁	puqb
蒲绒	purs
普润	pury
谱色	puse
曝晒	puud
铺摊	putj
葡糖	puth
普特	pute
莆田	putm
蒲亭	putk
普秃	putu
谱系	puxi
铺叙	puxu
朴学	puxt
蹼泳	puys
浦优	puyz
蒲郁	puyu
铺展	puvj
朴拙	puvo
旗瓣	qibj
气泵	qibg
气层	qicg
气冲	qiis
蕲春	qiiy
祺达	qida
汽灯	qidg
起稿	qigc
气根	qigf
七古	qigu
起卦	qigx
气锅	qigo
气海	qihd
气焊	qihj
气户	qihu
期考	qikc
耆老	qilc
棋类	qilw
芪龙	qils
气楼	qilz
气脉	qimd
汽暖	qinr
齐诺	qino
杞蓉	qirs
气煞	qiua
奇商	qiuh
起算	qisr
其外	qiwd
起卧	qiwo
奇秀	qixq
气旋	qixr
奇勋	qixy
七曜	qiyc
起赃	qizh
七罪	qizv
洽购	qxgz
髂骨	qxgu
袷袢	qxpj
恰切	qxqp
洽商	qxuh
扦插	qmia
前仇	qmiz
铅锤	qmiv
前唇	qmiy
钱褡	qmda
浅耕	qmgg
钱柜	qmgv
潜航	qmhh
堑壕	qmhc
前胡	qmhu
铅华	qmhx
欠火	qmho
千卡	qmka
钳口	qmkz
铅矿	qmkl
前馈	qmkv
悭吝	qmlb
千灵	qmlk
荨麻	qmma
前茅	qmmc
前脑	qmnc
潜匿	qmni
牵牛	qmnq
签批	qmpi
钱票	qmpn
铅瓶	qmpk
前秦	qmqb
前情	qmqk
前晌	qmuh
谦顺	qmuy
浅说	qmuo
铅丝	qmsi
签筒	qmts
迁葬	qmzh
乾造	qmzc
千针	qmvf
前爪	qmvx
抢白	qlbd
羟胍	qlgx
强将	qljl
呛咳	qlke
蜣螂	qllh
墙裙	qlqy
锖色	qlse
强似	qlsi
强酸	qlsr
枪穗	qlsv
强喜	qlxi
强心	qlxb
强压	qlya
墙垣	qlyr
羌月	qlyt
戕贼	qlzw
抢种	qlvs
乔艾	qnai
峭拔	qnba
侨办	qnbj
撬棒	qnbh
巧辩	qnbm
硗薄	qnbo
壳菜	qncd
谯城	qnig
鞘翅	qnii
乔丹	qndj
乔多	qndz
乔恩	qnen
巧干	qngj
撬杠	qngh
敲鼓	qngu
撬棍	qngy
侨汇	qnhv
俏货	qnho
巧匠	qnjl
侨眷	qnjr
桥孔	qnks
桥栏	qnlj
翘棱	qnlg
侨联	qnlm
谯楼	qnlz
乔尼	qnni
翘盼	qnpj
硗确	qnqt
敲入	qnru
侨商	qnuh
巧事	qnui
桥堍	qntu
翘望	qnwh
侨务	qnwu
桥西	qnxi
俏销	qnxn
锹性	qnxk
窍阴	qnyb
乔贞	qnvf
切比	qpbi
切变	qpbm
挈带	qpdd
切点	qpdm
窃夺	qpdz
切尔	qper
切糕	qpgc
惬怀	qphk
切角	qpjn
切近	qpjb
窃据	qpju
伽蓝	qplj
切力	qpli
窃明	qpmk
且末	qpmo
切盼	qppj
切伤	qpuh
怯逃	qptc
切牙	qpya
切要	qpyc
切音	qpyb
切缘	qpyr
秦安	qban
钦北	qbbw
亲本	qbbf
亲兵	qbbk
寝车	qbie
侵晨	qbif
秦城	qbig
亲代	qbdd
禽蛋	qbdj
亲等	qbdg
揿动	qbds
侵夺	qbdz
寝宫	qbgs
秦淮	qbhk
秦皇	qbhl
琴江	qbjl
秦艽	qbjn
钦敬	qbjk
勤苦	qbku
钦南	qbnj
琴鸟	qbnn
钦诺	qbno
秦皮	qbpi
芩翘	qbqn
禽舍	qbue
沁水	qbuv
秦苏	qbsu
琴亭	qbtk
侵晓	qbxn
侵越	qbyt
钦州	qbvz
秦篆	qbvr
亲族	qbzu
青帮	qkbh
清碧	qkbi
青布	qkbu
情痴	qkii
青川	qkir
清创	qkil
轻锤	qkiv
青葱	qkcs
青黛	qkdd
清党	qkdh
青灯	qkdg
倾动	qkds
青豆	qkdz
青娥	qkee
清肺	qkfw
青冈	qkgh
青蛤	qkha
清寒	qkhj
清酒	qkjq
清俊	qkjy
清口	qkkz
氢醌	qkky
青蓝	qklj
清冷	qklg
清冽	qklp
清流	qklq
晴纶	qkly
轻慢	qkmj
轻帽	qkmc
青梅	qkmw
清蒙	qkmg
青苗	qkmn
倾慕	qkmu
倾囊	qknh
青鸟	qknn
清宁	qknk
轻弩	qknu
轻暖	qknr
清盘	qkpj
倾盆	qkpf
清欠	qkqm
倾腔	qkql
清泉	qkqr
清热	qkre
清润	qkry
倾洒	qksa
清扫	qksc
青山	qkuj
青蛇	qkue
倾塌	qkta
清汤	qkth
轻蹄	qkti
青铜	qkts
清退	qktv
情网	qkwh
倾销	qkxn
清眩	qkxr
轻靴	qkxt
清夜	qkye
清音	qkyb
穹苍	qsch
穷愁	qsiz
穷乏	qsfa
穷根	qsgf
琼海	qshd
穷汉	qshj
琼浆	qsjl
穷究	qsjq
穷寇	qskz
邛崃	qsld
穹庐	qslu
穷忙	qsmh
茕茕	qsqs
琼山	qsuj
穷途	qstu
琼瑶	qsyc
琼脂	qsvi
琼中	qsvs
穷追	qsvv
球摆	qqbd
丘北	qqbw
求成	qqig
球胆	qqdj
求导	qqdc
球儿	qqer
球感	qqgj
秋谷	qqgu
秋灌	qqgr
秋光	qqgl
球果	qqgo
秋毫	qqhc
秋灰	qqhv
秋葵	qqkv
囚牢	qqlc
球面	qqmm
秋末	qqmo
丘墓	qqmu
丘脑	qqnc
求乞	qqqi
求荣	qqrs
秋霜	qqul
球坛	qqtj
求降	qqxl
秋汛	qqxy
仇英	qqyk
球钻	qqzr
曲奥	quao
祛白	qubd
取保	qubc
趋避	qubi
曲鬓	qubb
曲柄	qubk
曲差	quia
祛痘	qudz
区队	qudv
取法	qufa
趋高	qugc
曲骨	qugu
趋光	qugl
趋缓	quhr
去火	quho
阒寂	quji
曲江	qujl
区块	qukk
曲莱	quld
劬劳	qulc
曲率	qulv
瞿麦	qumd
曲纳	quna
取闹	qunc
驱鸟	qunn
去耦	quou
曲牌	qupd
取平	qupk
驱迫	qupo
曲泉	quqr
阒然	qurj
去任	qurf
屈伸	quuf
曲水	quuv
曲松	quss
去岁	qusv
屈枉	quwh
曲沃	quwo
区性	quxk
去雄	quxs
蛆眼	quyj
曲泽	quze
曲针	quvf
曲种	quvs
祛浊	quvo
拳棒	qrbh
全豹	qrbc
泉币	qrbi
权变	qrbm
权标	qrbn
拳参	qrcj
圈操	qrcc
犬齿	qrii
诠次	qrci
全等	qrdg
圈点	qrdm
圈儿	qrer
劝返	qrfj
全份	qrff
泉港	qrgh
颧弓	qrgs
全冠	qrgr
全光	qrgl
劝和	qrhe
颧篌	qrhz
全乎	qrhu
劝化	qrhx
全歼	qrjm
劝进	qrjb
全开	qrkk
权磊	qrlw
拳联	qrlm
全裂	qrlp
泉流	qrlq
圈拢	qrls
全鹿	qrlu
权门	qrmf
全南	qrnj
全篇	qrpm
蜷曲	qrqu
全人	qrrf
全日	qrri
全色	qrse
拳手	qruz
醛酸	qrsr
蜷缩	qrso
拳坛	qrtj
全托	qrto
全休	qrxq
铨叙	qrxu
劝学	qrxt
犬牙	qrya
全音	qryb
泉盈	qryk
权诈	qrva
圈占	qrvj
权杖	qrvh
诠注	qrvu
全传	qrvr
缺编	qtbm
确当	qtdh
却敌	qtdi
缺对	qtdv
缺额	qtee
确复	qtfu
确乎	qthu
确界	qtjp
缺漏	qtlz
缺盆	qtpf
确山	qtuj
炔烃	qttk
瘸腿	qttv
缺血	qtxt
阙疑	qtyi
缺员	qtyr
确证	qtvg
缺嘴	qtzv
裙钗	qyid
群臣	qyif
群雕	qydn
群芳	qyfg
群攻	qygs
群婚	qyhy
群集	qyji
群力	qyli
群论	qyly
群落	qylo
群魔	qymo
群起	qyqi
群舞	qywu
群像	qyxl
逡巡	qyxy
裙装	qyvl
群租	qyzu
染布	rjbu
燃放	rjfg
然谷	rjgu
髯口	rjkz
燃灵	rjlk
燃魔	rjmo
然诺	rjno
燃刃	rjrf
蚺蛇	rjue
燃素	rjsu
燃须	rjxu
攘臂	rhbi
让茶	rhia
攘夺	rhdz
让价	rhjx
嚷叫	rhjn
让开	rhkk
壤塘	rhth
壤土	rhtu
攘外	rhwd
瓤子	rhzi
桡骨	rcgu
饶河	rche
桡箕	rcji
绕接	rcjp
饶平	rcpk
扰攘	rcrh
扰扰	rcrc
饶头	rctz
绕线	rcxm
饶阳	rcyh
绕转	rcvr
绕组	rczu
热泵	rebg
热表	rebn
热病	rebk
热补	rebu
热肠	reih
热堆	redv
热痱	refw
热管	regr
热化	rehx
热机	reji
热价	rejx
热劲	rejb
热觉	rejt
热库	reku
热炉	relu
热敏	remb
热呕	reou
热容	rers
热砂	reua
热伤	reuh
热压	reya
热疫	reyi
热饮	reyb
热源	reyr
热晕	reyy
热轧	reva
热战	revj
热障	revh
热症	revg
热值	revi
热柱	revu
热字	rezi
热阻	rezu
人保	rfbc
任便	rfbm
仁布	rfbu
刃肠	rfih
刃齿	rfii
仁弟	rfdi
忍冬	rfds
人防	rffg
人豪	rfhc
仁怀	rfhk
人寰	rfhr
人祸	rfho
人精	rfjk
刃具	rfju
认捐	rfjr
人狼	rflh
刃鳞	rflb
人伦	rfly
任满	rfmj
人年	rfnm
纫佩	rfpw
韧皮	rfpi
人墙	rfql
认亲	rfqb
人日	rfri
荏弱	rfro
仁苏	rfsu
任所	rfso
人天	rftm
稔湾	rfwj
人望	rfwh
任县	rfxm
刃叶	rfye
认作	rfzo
日戳	riiz
日珥	rier
日工	rigs
日刊	rikj
日来	rild
日怒	rinu
日射	riue
日坛	ritj
日土	ritu
日托	rito
日夕	rixi
日薪	rixb
日影	riyk
日晕	riyy
日臻	rivf
融安	rsan
蓉北	rsbw
冗笔	rsbi
溶出	rsiu
绒带	rsdd
冗繁	rsfj
融会	rshv
溶胶	rsjn
容抗	rskh
熔炼	rslm
溶媒	rsmw
容情	rsqk
绒球	rsqq
溶蚀	rsui
溶栓	rsur
融水	rsuv
熔丝	rssi
绒毯	rstj
荣威	rsww
冗务	rswu
荣心	rsxb
绒绣	rsxq
溶血	rsxt
冗杂	rsza
熔渣	rsva
溶质	rsvi
冗赘	rsvv
肉案	rzan
肉畜	rziu
肉丁	rzdk
柔风	rzfg
肉冠	rzgr
肉桂	rzgv
肉红	rzhs
肉酱	rzjl
肉蔻	rzkz
柔量	rzll
鞣料	rzln
柔曼	rzmj
肉糜	rzmi
肉末	rzmo
肉排	rzpd
肉票	rzpn
肉鳍	rzqi
肉丘	rzqq
柔润	rzry
柔术	rzuu
鞣酸	rzsr
肉痛	rzts
肉头	rztz
肉兔	rztu
肉臀	rzty
肉馅	rzxm
肉羊	rzyh
乳安	ruan
入胞	rubc
汝辈	rubw
蠕变	rubm
乳钵	rubo
入仓	ruch
汝城	ruig
乳齿	ruii
褥疮	ruil
入春	ruiy
褥单	rudj
入队	rudv
如飞	rufw
乳粉	ruff
入伏	rufu
入阁	ruge
乳光	rugl
乳黄	ruhl
入会	ruhv
儒将	rujl
乳康	rukh
入款	rukr
如乐	rule
入理	ruli
儒林	rulb
汝南	runj
乳清	ruqk
入秋	ruqq
乳泉	ruqr
濡染	rurj
蠕蠕	ruru
乳山	ruuj
入射	ruue
乳糖	ruth
褥套	rutc
入团	rutr
入托	ruto
入弯	ruwj
入邪	ruxp
如心	ruxb
乳臭	ruxq
汝阳	ruyh
入药	ruyc
入夜	ruye
入狱	ruyu
儒者	ruve
乳中	ruvs
汝州	ruvz
软材	rrcd
软垫	rrdm
软缎	rrdr
软风	rrfg
软工	rrgs
软和	rrhe
软甲	rrjx
软木	rrmu
软泥	rrni
软皮	rrpi
软片	rrpm
软食	rrui
软糖	rrth
软铁	rrtp
软席	rrxi
软线	rrxm
软鞋	rrxp
软皂	rrzc
软脂	rrvi
瑞安	rvan
瑞白	rvbd
瑞班	rvbj
瑞倍	rvbw
瑞昌	rvih
芮城	rvig
瑞代	rvdd
瑞德	rvde
锐度	rvdu
瑞恩	rven
瑞尔	rver
瑞菲	rvfw
瑞甘	rvgj
瑞高	rvgc
瑞佳	rvjx
锐角	rvjn
瑞金	rvjb
瑞可	rvke
瑞兰	rvlj
瑞雷	rvlw
瑞联	rvlm
锐迈	rvmd
锐矛	rvmc
锐敏	rvmb
瑞能	rvng
瑞尼	rvni
锐宁	rvnk
瑞帕	rvpa
瑞朋	rvpg
瑞平	rvpk
瑞签	rvqm
瑞秦	rvqb
蕤仁	rvrf
瑞日	rvri
锐沙	rvua
瑞杉	rvuj
瑞什	rvuf
瑞素	rvsu
瑞泰	rvtd
瑞坦	rvtj
瑞特	rvte
瑞田	rvtm
瑞婷	rvtk
瑞雯	rvwf
瑞先	rvxm
瑞香	rvxl
瑞新	rvxb
瑞银	rvyb
瑞鹰	rvyk
瑞云	rvyy
枘凿	rvzc
锐增	rvzg
锐爪	rvvc
润博	rybo
润肠	ryih
润丹	rydj
润格	ryge
润喉	ryhz
润洁	ryjp
润津	ryjb
闰秒	rymn
闰盘	rypj
润祺	ryqi
闰日	ryri
润通	ryts
润正	ryvg
润州	ryvz
润资	ryzi
若虫	rois
若夫	rofu
若何	rohe
弱碱	rojm
弱流	rolq
若迈	romd
箬帽	romc
弱女	ronv
若朋	ropg
若奇	roqi
若羌	roql
弱水	rouv
弱酸	rosr
弱位	roww
箬竹	rovu
撒把	saba
撒播	sabo
萨敌	sadi
萨典	sadm
撒刁	sadn
萨丁	sadk
萨恩	saen
萨尔	saer
萨嘎	saga
撒开	sakk
萨拉	sala
撒赖	sald
萨林	salb
萨隆	sals
萨鲁	salu
萨米	sami
萨普	sapu
飒然	sarj
洒扫	sasc
撒施	saui
萨特	sate
萨万	sawj
萨文	sawf
撒种	savs
萨祖	sazu
塞宝	sdbc
塞尺	sdii
塞达	sdda
赛地	sddi
鳃窦	sddz
赛恩	sden
塞而	sder
噻吩	sdff
赛风	sdfg
塞格	sdge
塞规	sdgv
赛罕	sdhj
赛会	sdhv
腮颊	sdjx
塞卡	sdka
塞克	sdke
鳃裂	sdlp
鳃瘘	sdlz
赛纶	sdly
赛明	sdmk
塞宁	sdnk
赛情	sdqk
赛球	sdqq
塞斯	sdsi
赛威	sdww
腮腺	sdxm
赛增	sdzg
塞族	sdzu
噻唑	sdzo
三餐	sjcj
三春	sjiy
三反	sjfj
三废	sjfw
散工	sjgs
三关	sjgr
散光	sjgl
三害	sjhd
散寒	sjhj
三好	sjhc
三河	sjhe
三金	sjjb
三军	sjjy
